what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1650354347441
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1650354347442
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1650354347442
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1650354347443
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1650354347445
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1650354347445
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1650354347446
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1650354347447
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1650354347447
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1650354347448
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1650354347448
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1650354347448
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1650354347449
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1650354347449
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1650354347450
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1650354347450
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1650354347450
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1650354347451
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1650354347451
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1650354347452
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1650354347452
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1650354347452
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1650354347452
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1650354347453
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1650354347453
os,sysinfo,,,"win32",1650354347455
arch,sysinfo,,,"x86",1650354347455
ws,sysinfo,,,"win32",1650354347455
locale,sysinfo,,,"zh_CN",1650354347455
processors,sysinfo,,,"8",1650354347455
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1650354347455
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1650354347455
java.specification.name,sysinfo,,,"Java Platform API Specification",1650354347455
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650354347455
java.specification.version,sysinfo,,,"1.6",1650354347455
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1650354347455
java.version,sysinfo,,,"1.6.0_17",1650354347455
java.vm.info,sysinfo,,,"mixed mode",1650354347455
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1650354347455
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1650354347455
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650354347455
java.vm.specification.version,sysinfo,,,"1.0",1650354347455
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1650354347455
java.vm.version,sysinfo,,,"14.3-b01",1650354347455
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650354349446
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650354363358
