what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1650352316527
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1650352316528
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1650352316534
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1650352316543
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1650352316543
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1650352316545
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1650352316557
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1650352316557
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1650352316565
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1650352316573
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1650352316583
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1650352316584
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1650352316603
os,sysinfo,,,"win32",1650352316605
arch,sysinfo,,,"x86",1650352316605
ws,sysinfo,,,"win32",1650352316605
locale,sysinfo,,,"zh_CN",1650352316605
processors,sysinfo,,,"8",1650352316605
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1650352316605
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1650352316605
java.specification.name,sysinfo,,,"Java Platform API Specification",1650352316605
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650352316605
java.specification.version,sysinfo,,,"1.6",1650352316605
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1650352316605
java.version,sysinfo,,,"1.6.0_17",1650352316605
java.vm.info,sysinfo,,,"mixed mode",1650352316605
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1650352316605
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1650352316605
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1650352316605
java.vm.specification.version,sysinfo,,,"1.0",1650352316605
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1650352316605
java.vm.version,sysinfo,,,"14.3-b01",1650352316605
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1650352316669
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1650352316942
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1650352316944
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1650352316999
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1650352317054
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1650352317188
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352410146
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1650352414754
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1650352414765
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1650352454232
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1650352454291
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1650352454313
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1650352461879
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1650352461891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352465344
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1650352465940
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1650352465955
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650352465992
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1650352466051
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1650352466201
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1650352466357
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1650352466411
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1650352466427
activated,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1650352469678
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1650352469682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352473150
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352632348
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352632929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352805230
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650352807669
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1650352807751
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1650352807835
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1650352807894
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1650352808086
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1650352808118
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1650352808416
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352811611
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352857008
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352865375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352879280
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1650352880367
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650352880424
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650352880534
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1650352880904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650352883503
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353097702
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1650353099512
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1650353100413
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1650353101487
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1650353102803
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353111512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353123906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353128433
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353128537
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353128625
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353132995
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353132996
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353134271
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353136736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353138900
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1650353138911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353140404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353151027
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353157575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353161686
